processo;embarque;supplier;modal;data_etd;data_entrega;quantidade;valor_produto;frete;impostos;custo_total_real;custo_unitario;variacao_cambial;lead_time_total;dias_desembaraco;pallets;custo_por_pallet;percentual_frete;percentual_impostos
GOC24018;13;Everich;Fcl;28/05/2025;14/08/2025;5700;29184,0;676,97;64817,21;94678,18;16,61;0,09;78,0;19,0;21,0;4508,48;0,0072;0,6846
GOC24132;4;Everich;Fcl;28/05/2025;14/08/2025;19968;60268,8;1398,03;113900,66;175567,49;8,79;0,1;78,0;19,0;28,0;6270,27;0,008;0,6488
GOC24132;5;Everich;Fcl;17/06/2025;10/09/2025;16389;77710,35;3550,0;176570,69;257831,04;15,73;0,12;85,0;14,0;58,0;4445,36;0,0138;0,6848
GOC24128;7;Yns;Fcl;04/06/2025;06/08/2025;21000;71620,8;2715,58;164117,54;238453,92;11,35;0,19;63,0;27,0;58,0;4111,27;0,0114;0,6883
GOC24128;8;Yns;Fcl;04/06/2025;06/08/2025;19700;90935,0;3082,37;164117,54;258134,91;13,1;0,19;63,0;27,0;45,0;5736,33;0,0119;0,6358
GOC24129;1;Yns;Fcl;04/06/2025;06/08/2025;7200;20556,0;779,2;164117,54;185452,74;25,76;0,19;63,0;27,0;15,0;12363,52;0,0042;0,885
BBI25016;1;Lanrun;Fcl;19/05/2025;08/07/2025;25000;83667,2;1292,18;167155,96;252115,34;10,08;0,19;50,0;17,0;52,0;4848,37;0,0051;0,663
BBI25016;2;Lanrun;Fcl;19/05/2025;08/07/2025;35880;88705,2;1369,98;167155,97;257231,15;7,17;0,19;50,0;17,0;48,0;5358,98;0,0053;0,6498
GOC25013;1;Max Home;Fcl;14/06/2025;25/08/2025;48120;38977,2;4800,0;95591,22;139368,42;2,9;0,02;72,0;20,0;51,0;2732,71;0,0344;0,6859
GOC24098;2;Lanrun;Fcl;18/03/2025;04/07/2025;9000;4050,0;105,99;9362,95;13518,94;1,5;0,31;108,0;75,0;3,0;4506,31;0,0078;0,6926
GOC24128;9;Yns;Fcl;06/06/2025;22/07/2025;13300;63175,0;2449,16;184543,42;250167,58;18,81;0,1;46,0;16,0;34,0;7357,87;0,0098;0,7377
GOC24129;2;Yns;Fcl;06/06/2025;22/07/2025;7700;37029,0;1088,21;184543,42;222660,63;28,92;0,1;46,0;16,0;23,0;9680,9;0,0049;0,8288
GOC24129;3;Yns;Fcl;06/06/2025;22/07/2025;16800;71787,0;3130,35;184543,42;259460,77;15,44;0,1;46,0;16,0;58,0;4473,46;0,0121;0,7113
BBI25016;3;Lanrun;Fcl;29/03/2025;04/07/2025;2836;1134,4;25,9;2295,02;3455,32;1,22;0,16;97,0;58,0;4,0;863,83;0,0075;0,6642
BBI25016;4;Lanrun;Fcl;04/05/2025;03/07/2025;1000;450,0;8,65;1259,78;1718,43;1,72;0,12;60,0;25,0;1,0;1718,43;0,005;0,7331
GOC25012;1;Yiwu Runhui;Fcl;15/06/2025;01/08/2025;84590;111893,5;9060,0;377830,73;498784,23;5,9;0,05;47,0;12,0;171,0;2916,87;0,0182;0,7575
BBI25027;1;Dongguan Alljoyful;Aéreo;01/06/2025;01/07/2025;8500;10680,0;1862,52;40745,86;53288,38;6,27;-0,03;30,0;28,0;0,0;;0,035;0,7646
